framenumber,Timestamp,Pose-X,Pose-Y,Headrate,VelocityYaw,Standstill,Direction,CarSpeed,FrontWheelAngle
5196,2807428902,45.792000000000001592,-2.8029999999999999361,-1.2940424680709838867,0.11690305104567466632,0,1,0.96875,0.33121138811111450195
5197,2807448881,45.795999999999999375,-2.8170000000000001705,-1.2916948795318603516,0.11750280490132314348,0,1,0.96875,0.33121138811111450195
5198,2807468907,45.803000000000004377,-2.8439999999999998614,-1.2893497943878173828,0.11710202457020717215,0,1,0.96875,0.33121138811111450195
5199,2807468907,45.803000000000004377,-2.8439999999999998614,-1.2893497943878173828,0.11683667451143264771,0,1,0.984375,0.33121138811111450195
5200,2807488897,45.80700000000000216,-2.8580000000000000959,-1.2869814634323120117,0.11847578566810260114,0,1,0.984375,0.33121138811111450195
5201,2807508870,45.814999999999997726,-2.8860000000000001208,-1.2845950126647949219,0.11948384156196314998,0,1,0.984375,0.33121138811111450195
5202,2807528900,45.820000000000000284,-2.8990000000000000213,-1.2822301387786863014,0.11806659441379922793,0,1,0.984375,0.33121138811111450195
5203,2807548910,45.823999999999998067,-2.9130000000000002558,-1.2798223495483396217,0.12032929686889953791,0,1,0.984375,0.33121138811111450195
5204,2807568870,45.832000000000000739,-2.9399999999999999467,-1.2774617671966552734,0.1182656488819925078,0,1,0.984375,0.33121138811111450195
5205,2807568870,45.832000000000000739,-2.9399999999999999467,-1.2774617671966552734,0.11869405210018157959,0,1,1,0.33142113685607910156
5206,2807588914,45.840000000000003411,-2.9679999999999999716,-1.2750341892242431641,0.12111245122790408046,0,1,1,0.33142113685607910156
5207,2807608882,45.840000000000003411,-2.9679999999999999716,-1.2726727724075317383,0.11826005692665393643,0,1,1,0.33142113685607910156
5208,2807628884,45.849000000000003752,-2.9950000000000001066,-1.2702540159225463867,0.1209257316760999762,0,1,1,0.33142113685607910156
5209,2807648913,45.856999999999999318,-3.0220000000000002416,-1.2678649425506591797,0.11928071156259459351,0,1,1,0.33142113685607910156
5210,2807668887,45.861000000000004206,-3.036000000000000032,-1.2654447555541989967,0.12116686674977275584,0,1,1,0.33142113685607910156
5211,2807668887,45.861000000000004206,-3.036000000000000032,-1.2654447555541989967,0.12287314236164093018,0,1,1.015625,0.33163094520568847656
5212,2807688891,45.865999999999999659,-3.0500000000000002665,-1.2630227804183959961,0.12107454188178479182,0,1,1.015625,0.33163094520568847656
5213,2807708930,45.869999999999997442,-3.063000000000000167,-1.2606176137924194336,0.12002428394513511845,0,1,1.015625,0.33163094520568847656
5214,2807728891,45.878999999999997783,-3.0910000000000001918,-1.2581807374954221412,0.12208187450513853511,0,1,1.015625,0.33163094520568847656
5215,2807748908,45.887999999999998124,-3.1179999999999998828,-1.2557145357131958008,0.12320536455145938981,0,1,1.015625,0.33163094520568847656
5216,2807768905,45.892000000000003013,-3.1310000000000002274,-1.2532402276992797852,0.1237339607899192867,0,1,1.015625,0.33163094520568847656
5217,2807768905,45.892000000000003013,-3.1310000000000002274,-1.2532402276992797852,0.12400085479021072388,0,1,1.015625,0.33215543627738952637
